,day,best_agent_profit,day_best_agent_profit
0,0,71121.56665992737,71121.56665992737
1,1,71121.56665992737,70528.05765342712
2,2,71121.56665992737,70528.05765342712
3,3,71121.56665992737,70528.05765342712
4,4,71121.56665992737,70528.05765342712
5,5,71121.56665992737,70528.05765342712
6,6,71121.56665992737,70528.05765342712
7,7,71121.56665992737,70528.05765342712
8,8,71121.56665992737,70528.05765342712
9,9,71121.56665992737,70528.05765342712
10,10,71121.56665992737,70528.05765342712
11,11,71121.56665992737,70528.05765342712
12,12,71121.56665992737,70528.05765342712
13,13,71121.56665992737,70528.05765342712
14,14,71121.56665992737,70528.05765342712
15,15,71121.56665992737,70528.05765342712
16,16,71121.56665992737,70528.05765342712
17,17,71121.56665992737,70528.05765342712
18,18,71121.56665992737,70528.05765342712
19,19,71121.56665992737,70528.05765342712
20,20,71121.56665992737,70528.05765342712
21,21,71121.56665992737,70528.05765342712
22,22,71121.56665992737,70528.05765342712
23,23,71121.56665992737,70528.05765342712
24,24,71121.56665992737,70528.05765342712
25,25,71121.56665992737,70528.05765342712
26,26,71121.56665992737,70528.25378417969
27,27,71121.56665992737,70528.05765342712
28,28,71121.56665992737,70528.05765342712
29,29,71121.56665992737,70528.05765342712
30,30,71121.56665992737,70528.05765342712
31,31,71121.56665992737,70528.05765342712
32,32,71121.56665992737,70528.05765342712
33,33,71121.56665992737,70528.05765342712
34,34,71121.56665992737,70528.43236351013
35,35,71121.56665992737,70530.51589775085
36,36,71121.56665992737,70528.05765342712
37,37,71121.56665992737,70528.05765342712
38,38,71121.56665992737,70528.05765342712
39,39,71121.56665992737,70528.05914878845
40,40,71121.56665992737,70528.05765342712
41,41,71121.56665992737,70528.05765342712
42,42,71121.56665992737,70528.05765342712
43,43,71121.56665992737,70528.05765342712
44,44,71121.56665992737,70530.78799629211
45,45,71121.56665992737,70530.78799629211
46,46,71121.56665992737,70535.42584609985
47,47,71121.56665992737,70530.78799629211
48,48,71121.56665992737,70530.78799629211
49,49,71121.56665992737,70530.78799629211
50,50,71121.56665992737,70544.9691772461
51,51,71121.56665992737,70530.78799629211
52,52,71121.56665992737,70536.64143943787
53,53,71121.56665992737,70536.64143943787
54,54,71121.56665992737,70536.64143943787
55,55,71121.56665992737,70536.64143943787
56,56,71121.56665992737,70536.64143943787
57,57,71121.56665992737,70536.64143943787
58,58,71121.56665992737,70536.64143943787
59,59,71121.56665992737,70536.64143943787
60,60,71121.56665992737,70536.64143943787
61,61,71121.56665992737,70536.64143943787
62,62,71121.56665992737,70536.64143943787
63,63,71121.56665992737,70536.64143943787
64,64,71121.56665992737,70536.64143943787
65,65,71121.56665992737,70536.64143943787
66,66,71121.56665992737,70536.64143943787
67,67,71121.56665992737,70536.88381004333
68,68,71121.56665992737,70536.64143943787
69,69,71121.56665992737,70536.64143943787
70,70,71121.56665992737,70536.64143943787
71,71,71121.56665992737,70536.64143943787
72,72,71121.56665992737,70536.64143943787
73,73,71121.56665992737,70536.64143943787
74,74,71121.56665992737,70536.64143943787
75,75,71121.56665992737,70536.64143943787
76,76,71121.56665992737,70536.64143943787
77,77,71121.56665992737,70536.64143943787
78,78,71121.56665992737,70540.91625785828
79,79,71121.56665992737,70540.91625785828
80,80,71121.56665992737,70540.91625785828
81,81,71121.56665992737,70536.64143943787
82,82,71121.56665992737,70545.44145774841
83,83,71121.56665992737,70545.44145774841
84,84,71121.56665992737,70545.44145774841
85,85,71121.56665992737,70545.44145774841
86,86,71121.56665992737,70545.44145774841
87,87,71121.56665992737,70545.44145774841
88,88,71121.56665992737,70545.44145774841
89,89,71121.56665992737,70545.44145774841
90,90,71121.56665992737,70545.44145774841
91,91,71121.56665992737,70536.64143943787
92,92,71121.56665992737,70536.64143943787
93,93,71121.56665992737,70536.64143943787
94,94,71121.56665992737,70536.64143943787
95,95,71121.56665992737,70536.64143943787
96,96,71121.56665992737,70536.64143943787
97,97,71121.56665992737,70577.63084983826
98,98,71121.56665992737,70577.63084983826
99,99,71121.56665992737,70536.64143943787
100,100,71121.56665992737,70536.64143943787
101,101,71121.56665992737,70536.64143943787
102,102,71121.56665992737,70536.64143943787
103,103,71121.56665992737,70536.64143943787
104,104,71121.56665992737,70536.64143943787
105,105,71121.56665992737,70536.64143943787
106,106,71121.56665992737,70536.64143943787
107,107,71121.56665992737,70536.64143943787
108,108,71121.56665992737,70554.85198020935
109,109,71121.56665992737,70568.20198631287
110,110,71121.56665992737,70536.64143943787
111,111,71121.56665992737,70734.03235435486
112,112,71121.56665992737,70536.64143943787
113,113,71121.56665992737,70536.64143943787
114,114,71121.56665992737,70536.64143943787
115,115,71121.56665992737,70536.64143943787
116,116,71121.56665992737,70536.64143943787
117,117,71121.56665992737,70536.64143943787
118,118,71121.56665992737,70536.64143943787
119,119,71121.56665992737,70536.64143943787
120,120,71121.56665992737,70536.64143943787
121,121,71121.56665992737,70536.64143943787
122,122,71121.56665992737,70545.26143455505
123,123,71121.56665992737,70541.73810386658
124,124,71121.56665992737,70541.73810386658
125,125,71121.56665992737,70731.39810752869
126,126,71121.56665992737,70731.39810752869
127,127,71121.56665992737,70731.39810752869
128,128,71121.56665992737,70731.39810752869
129,129,71121.56665992737,70731.39810752869
130,130,71121.56665992737,70541.73810386658
131,131,71121.56665992737,70541.73810386658
132,132,71121.56665992737,70541.73810386658
133,133,71121.56665992737,70541.73810386658
134,134,71121.56665992737,70541.73810386658
135,135,71121.56665992737,70541.73810386658
136,136,71121.56665992737,70541.73810386658
137,137,71121.56665992737,70541.73810386658
138,138,71121.56665992737,70541.73810386658
139,139,71121.56665992737,70541.73810386658
140,140,71121.56665992737,70541.73810386658
141,141,71121.56665992737,70541.73810386658
142,142,71121.56665992737,70541.73810386658
143,143,71121.56665992737,70541.73810386658
144,144,71121.56665992737,70541.73810386658
145,145,71121.56665992737,70541.73810386658
146,146,71121.56665992737,70541.73810386658
147,147,71121.56665992737,70541.73810386658
148,148,71121.56665992737,70541.73810386658
149,149,71121.56665992737,70541.73810386658
150,150,71121.56665992737,70541.73810386658
151,151,71121.56665992737,70541.73810386658
152,152,71121.56665992737,70541.73810386658
153,153,71121.56665992737,70541.73810386658
154,154,71121.56665992737,70541.73810386658
155,155,71121.56665992737,70541.73810386658
156,156,71121.56665992737,70541.73810386658
157,157,71121.56665992737,70541.73810386658
158,158,71121.56665992737,70541.73810386658
159,159,71121.56665992737,70541.73810386658
160,160,71121.56665992737,70541.73810386658
161,161,71121.56665992737,70541.73810386658
162,162,71121.56665992737,70541.73810386658
163,163,71121.56665992737,70541.73810386658
164,164,71121.56665992737,70541.73810386658
165,165,71121.56665992737,70541.73810386658
166,166,71121.56665992737,70541.73810386658
167,167,71121.56665992737,70541.73810386658
168,168,71121.56665992737,70541.73810386658
169,169,71121.56665992737,70541.73810386658
170,170,71121.56665992737,70543.01155853271
171,171,71121.56665992737,70541.73810386658
172,172,71121.56665992737,70541.73810386658
173,173,71121.56665992737,70541.73810386658
174,174,71121.56665992737,70663.66129112244
175,175,71121.56665992737,70543.01155853271
176,176,71121.56665992737,70543.01155853271
177,177,71121.56665992737,70543.01155853271
178,178,71121.56665992737,70543.01155853271
179,179,71121.56665992737,70543.01155853271
180,180,71121.56665992737,70543.01155853271
181,181,71121.56665992737,70543.01155853271
182,182,71121.56665992737,70543.01155853271
183,183,71121.56665992737,70544.09104537964
184,184,71121.56665992737,70544.09104537964
185,185,71121.56665992737,70544.09104537964
186,186,71121.56665992737,70544.09104537964
187,187,71121.56665992737,70544.09104537964
188,188,71121.56665992737,70544.09104537964
189,189,71121.56665992737,70544.09104537964
190,190,71121.56665992737,70544.09104537964
191,191,71121.56665992737,70544.09104537964
192,192,71121.56665992737,70544.09104537964
193,193,71121.56665992737,70544.09104537964
194,194,71121.56665992737,70544.09104537964
195,195,71121.56665992737,70544.09104537964
196,196,71121.56665992737,70544.09104537964
197,197,71121.56665992737,70544.09104537964
198,198,71121.56665992737,70544.09104537964
199,199,71121.56665992737,70544.09104537964
200,200,71121.56665992737,70544.09104537964
201,201,71121.56665992737,70544.09104537964
202,202,71121.56665992737,70544.09104537964
203,203,71121.56665992737,70544.09104537964
204,204,71121.56665992737,70544.09104537964
205,205,71121.56665992737,70544.09104537964
206,206,71121.56665992737,70544.09104537964
207,207,71121.56665992737,70544.09104537964
208,208,71121.56665992737,70544.09104537964
209,209,71121.56665992737,70570.22101974487
210,210,71121.56665992737,70544.09104537964
211,211,71121.56665992737,70544.31286621094
212,212,71121.56665992737,70544.14159011841
213,213,71121.56665992737,70544.14159011841
214,214,71121.56665992737,70556.0105934143
215,215,71121.56665992737,70544.14159011841
216,216,71121.56665992737,70544.09104537964
217,217,71121.56665992737,70544.09104537964
218,218,71121.56665992737,70544.09104537964
219,219,71121.56665992737,70544.09104537964
220,220,71121.56665992737,70544.09104537964
221,221,71121.56665992737,70544.09104537964
222,222,71121.56665992737,70544.09104537964
223,223,71121.56665992737,70544.09104537964
224,224,71121.56665992737,70544.09104537964
225,225,71121.56665992737,70544.12515258789
226,226,71121.56665992737,70715.10105514526
227,227,71121.56665992737,70715.10105514526
228,228,71121.56665992737,70715.10105514526
229,229,71121.56665992737,70715.10105514526
230,230,71121.56665992737,70715.10105514526
231,231,71121.56665992737,70710.38034629822
232,232,71121.56665992737,70546.46070480347
233,233,71121.56665992737,70546.46070480347
234,234,71121.56665992737,70546.46070480347
235,235,71121.56665992737,70546.46070480347
236,236,71121.56665992737,70546.46070480347
237,237,71121.56665992737,70546.46070480347
238,238,71121.56665992737,70546.46070480347
239,239,71121.56665992737,70546.46070480347
240,240,71121.56665992737,70546.46070480347
241,241,71121.56665992737,70546.46070480347
242,242,71121.56665992737,70546.46070480347
243,243,71121.56665992737,70590.76174545288
244,244,71121.56665992737,70590.76174545288
245,245,71121.56665992737,70590.76174545288
246,246,71121.56665992737,70590.76174545288
247,247,71121.56665992737,70590.76174545288
248,248,71121.56665992737,70590.76174545288
249,249,71121.56665992737,70590.76174545288
250,250,71121.56665992737,70590.76174545288
251,251,71121.56665992737,70590.76174545288
252,252,71121.56665992737,70590.76174545288
253,253,71121.56665992737,70590.76174545288
254,254,71121.56665992737,70590.76174545288
255,255,71121.56665992737,70590.76174545288
256,256,71121.56665992737,70590.76174545288
257,257,71121.56665992737,70590.76174545288
258,258,71121.56665992737,70590.76174545288
259,259,71121.56665992737,70590.76174545288
260,260,71121.56665992737,70590.76174545288
261,261,71121.56665992737,70590.76174545288
262,262,71121.56665992737,70590.76174545288
263,263,71121.56665992737,70590.76174545288
264,264,71121.56665992737,70590.76174545288
265,265,71121.56665992737,70590.76174545288
266,266,71121.56665992737,70590.76174545288
267,267,71121.56665992737,70590.76174545288
268,268,71121.56665992737,70590.76174545288
269,269,71121.56665992737,70590.76174545288
270,270,71121.56665992737,70590.76174545288
271,271,71121.56665992737,70590.76174545288
272,272,71121.56665992737,70590.9503364563
273,273,71121.56665992737,70590.9503364563
274,274,71121.56665992737,70590.76174545288
275,275,71121.56665992737,70590.76174545288
276,276,71121.56665992737,70590.76174545288
277,277,71121.56665992737,70590.76174545288
278,278,71121.56665992737,70609.75170516968
279,279,71121.56665992737,70609.75170516968
280,280,71121.56665992737,70609.75170516968
281,281,71121.56665992737,70609.75170516968
282,282,71121.56665992737,70702.17171859741
